token	true	prediction
eu	I-ORG	I-ORG
rejects	O	O
german	I-MISC	I-MISC
call	O	O
to	O	O
boycott	O	O
british	I-MISC	I-MISC
lamb	O	O
.	O	O

peter	I-PER	I-PER
blackburn	I-PER	I-PER

brussels	I-LOC	I-LOC
$UNK$	O	O

the	O	O
european	I-ORG	I-ORG
commission	I-ORG	I-ORG
said	O	O
on	O	O
thursday	O	O
it	O	O
disagreed	O	O
with	O	O
german	I-MISC	I-MISC
advice	O	O
to	O	O
consumers	O	O
to	O	O
shun	O	O
british	I-MISC	I-MISC
lamb	O	O
until	O	O
scientists	O	O
determine	O	O
whether	O	O
mad	O	O
cow	O	O
disease	O	O
can	O	O
be	O	O
transmitted	O	O
to	O	O
sheep	O	O
.	O	O

germany	I-LOC	I-LOC
's	O	O
representative	O	O
to	O	O
the	O	O
european	I-ORG	I-ORG
union	I-ORG	I-ORG
's	O	O
veterinary	O	O
committee	O	O
werner	I-PER	I-PER
$UNK$	I-PER	I-PER
said	O	O
on	O	O
wednesday	O	O
consumers	O	O
should	O	O
buy	O	O
$UNK$	O	O
from	O	O
countries	O	O
other	O	O
than	O	O
britain	I-LOC	I-LOC
until	O	O
the	O	O
scientific	O	O
advice	O	O
was	O	O
clearer	O	O
.	O	O

"	O	O
we	O	O
do	O	O
n't	O	O
support	O	O
any	O	O
such	O	O
recommendation	O	O
because	O	O
we	O	O
do	O	O
n't	O	O
see	O	O
any	O	O
grounds	O	O
for	O	O
it	O	O
,	O	O
"	O	O
the	O	O
commission	I-ORG	I-ORG
's	O	O
chief	O	O
spokesman	O	O
nikolaus	I-PER	I-PER
van	I-PER	I-PER
der	I-PER	I-PER
pas	I-PER	I-PER
told	O	O
a	O	O
news	O	O
briefing	O	O
.	O	O

he	O	O
said	O	O
further	O	O
scientific	O	O
study	O	O
was	O	O
required	O	O
and	O	O
if	O	O
it	O	O
was	O	O
found	O	O
that	O	O
action	O	O
was	O	O
needed	O	O
it	O	O
should	O	O
be	O	O
taken	O	O
by	O	O
the	O	O
european	I-ORG	I-ORG
union	I-ORG	I-ORG
.	O	O

he	O	O
said	O	O
a	O	O
proposal	O	O
last	O	O
month	O	O
by	O	O
eu	I-ORG	I-ORG
farm	O	I-ORG
commissioner	O	O
franz	I-PER	I-PER
fischler	I-PER	I-PER
to	O	O
ban	O	O
sheep	O	O
brains	O	O
,	O	O
spleens	O	O
and	O	O
spinal	O	O
cords	O	O
from	O	O
the	O	O
human	O	O
and	O	O
animal	O	O
food	O	O
chains	O	O
was	O	O
a	O	O
highly	O	O
specific	O	O
and	O	O
precautionary	O	O
move	O	O
to	O	O
protect	O	O
human	O	O
health	O	O
.	O	O

fischler	I-PER	O
proposed	O	O
eu-wide	I-MISC	O
measures	O	O
after	O	O
reports	O	O
from	O	O
